task,pair,series,actual_tied,hidden_dim,gcorr_E_cos_mean,gcorr_E_euc_mean,gcorr_U_cos_mean,gcorr_U_euc_mean,E_minus_U_cos
task1,Qwen3-0.6B-Base->Qwen3-0.6B,Qwen3,True,1024,0.989602742155382,0.9941811807515396,0.9895873459258249,0.9941792153415535,1.539622955715192e-05
task1,Qwen3-1.7B-Base->Qwen3-1.7B,Qwen3,True,2048,0.9947217369919181,0.9983066092840538,0.9947305316595347,0.9983068688674962,-8.794667616607299e-06
task1,Qwen3-4B-Base->Qwen3-4B,Qwen3,True,2560,0.9972287933955417,0.9974344658572731,0.9972289681796072,0.9974345745907235,-1.747840654431343e-07
task1,Qwen3-8B-Base->Qwen3-8B,Qwen3,False,4096,0.9940134077706431,0.9999576787927541,0.998338588907448,0.9989596960250146,-0.004325181136804912
task1,Qwen3-14B-Base->Qwen3-14B,Qwen3,False,5120,0.993438959771175,0.9999542850646249,0.9973446966187213,0.9991446949459558,-0.0039057368475462484
task1,Qwen3-30B-A3B-Base->Qwen3-30B-A3B,Qwen3,False,2048,0.986566049310611,0.999824467865066,0.9978858671316629,0.9975985863573656,-0.011319817821051958
task1,Qwen3.5-0.8B-Base->Qwen3.5-0.8B-Instruct,Qwen3.5,True,1024,0.9994655435143891,0.9988445257353163,0.9994654861483402,0.9988445135884745,5.736604891115604e-08
task1,Qwen3.5-2B-Base->Qwen3.5-2B-Instruct,Qwen3.5,True,2048,0.9995466729381094,0.998513586028977,0.9995466411623768,0.9985134157414894,3.177573260071398e-08
task1,Qwen3.5-4B-Base->Qwen3.5-4B-Instruct,Qwen3.5,True,2560,0.9996167128093348,0.9986087355845206,0.999616694012059,0.9986086529090202,1.8797275846971218e-08
task1,Qwen3.5-9B-Base->Qwen3.5-9B-Instruct,Qwen3.5,False,4096,0.9984136182902994,0.999980284179076,0.9995285076503331,0.9994016710905183,-0.0011148893600336773
task1,Qwen3.5-35B-A3B-Base->Qwen3.5-35B-A3B-Instruct,Qwen3.5,False,2048,0.9986758318014459,0.9999525800135786,0.9995838782788443,0.9989515552819621,-0.0009080464773983943
task1,Qwen2.5-0.5B->Qwen2.5-0.5B-Instruct,Qwen2.5,True,896,0.9980068702339273,0.9963720842850516,0.9980069120712726,0.9963717649598491,-4.183734525486926e-08
task1,Qwen2.5-1.5B->Qwen2.5-1.5B-Instruct,Qwen2.5,True,1536,0.9996698821311473,0.9998633215251267,0.9996699740848258,0.9998633318134966,-9.195367856040804e-08
task1,Qwen2.5-3B->Qwen2.5-3B-Instruct,Qwen2.5,True,2048,0.9996624903142762,0.9998918702158386,0.999662492709564,0.9998918715885762,-2.3952877459265665e-09
task1,Qwen2.5-7B->Qwen2.5-7B-Instruct,Qwen2.5,False,3584,0.999673037779141,0.9999956995201613,0.9998308740958355,0.9998353044523056,-0.00015783631669452625
task1,Qwen2.5-14B->Qwen2.5-14B-Instruct,Qwen2.5,False,5120,0.9998070599536659,0.9999987433375468,0.9991420720812365,0.9999567919917832,0.0006649878724294123
task1,Qwen2.5-32B->Qwen2.5-32B-Instruct,Qwen2.5,False,5120,0.9998459028997402,0.9999990515298396,0.9997075853501659,0.9999617336600859,0.0001383175495742739
task1,Qwen2.5-72B-Base->Qwen2.5-72B-Instruct,Qwen2.5,False,8192,0.9997488564888981,0.9999955833983352,0.9998942733043406,0.9999329627400452,-0.0001454168154424451
task1,Llama-3.2-1B->Llama-3.2-1B-Instruct,Llama-3.2,True,2048,0.9814589202571341,0.970031128023914,0.9814611838942162,0.9700301713370594,-2.263637082111636e-06
task1,Llama-3.2-3B->Llama-3.2-3B-Instruct,Llama-3.2,True,3072,0.9863011898730909,0.9852069860425362,0.9863015613752288,0.9852062502613579,-3.7150213794134856e-07
task1,Llama-3.1-8B->Llama-3.1-8B-Instruct,Llama-3.1,False,4096,0.9977256757940257,0.9999277225984048,0.9991734384270203,0.999024243939851,-0.0014477626329946203
task1,Llama-3.1-70B-Base->Llama-3.1-70B-Instruct,Llama-3.1,False,8192,0.9986162303743085,0.9999516434316114,0.9977741221769036,0.9994406323527614,0.0008421081974048228
task1,Gemma-2-2B->Gemma-2-2B-Instruct,Gemma-2,True,2304,0.9997445760900497,0.9992479468210079,0.9997446294573402,0.999247904349682,-5.3367290475669904e-08
task1,Gemma-2-9B->Gemma-2-9B-Instruct,Gemma-2,True,3584,0.9985101925184453,0.9960486492944828,0.9985098660804189,0.9960475140919545,3.2643802638787633e-07
task1,Gemma-2-27B->Gemma-2-27B-Instruct,Gemma-2,True,4608,0.9981624962631662,0.9820383003016147,0.998162393641493,0.9820408536815494,1.026216732702423e-07
task1,Gemma-3-4B->Gemma-3-4B-Instruct,Gemma-3,True,2560,0.9791577562059511,0.8940217290409812,0.9791765473812724,0.8941991903662242,-1.879117532121999e-05
task1,Gemma-3-12B->Gemma-3-12B-Instruct,Gemma-3,True,3840,0.9883863310411382,0.9461472136682891,0.9883964500951045,0.9462488170560736,-1.0119053966306524e-05
task1,Gemma-3-27B->Gemma-3-27B-Instruct,Gemma-3,True,5376,0.9898735731863937,0.9528294643306394,0.9898861022975582,0.9529273204089183,-1.2529111164560902e-05
task1,DeepSeek-V3-Base->DeepSeek-V3,DeepSeek-V3,False,7168,0.9999976314206677,0.9999999119731521,0.9999965962311795,0.9999997127124242,1.0351894881299728e-06
task1,DeepSeek-V3.1-Base->DeepSeek-V3.1,DeepSeek-V3.1,False,7168,0.9999942740083944,0.9999996464630317,0.9999855613623879,0.9999975127895842,8.712646006436842e-06
