model_a,model_b,first_standard_rank_with_3_losses,affine_wins_1_2_4_8
DeepSeek-V3-Base,DeepSeek-V3,1,0
DeepSeek-V3.1-Base,DeepSeek-V3.1,1,0
Gemma-2-27B,Gemma-2-27B-Instruct,32,4
Gemma-2-2B,Gemma-2-2B-Instruct,4,2
Gemma-2-9B,Gemma-2-9B-Instruct,,4
Gemma-3-12B,Gemma-3-12B-Instruct,,4
Gemma-3-27B,Gemma-3-27B-Instruct,32,4
Gemma-3-4B,Gemma-3-4B-Instruct,32,4
Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,1,0
Llama-3.1-8B,Llama-3.1-8B-Instruct,1,0
Llama-3.2-1B,Llama-3.2-1B-Instruct,,4
Llama-3.2-3B,Llama-3.2-3B-Instruct,,4
Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,,4
Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,1,0
Qwen2.5-14B,Qwen2.5-14B-Instruct,1,0
Qwen2.5-32B,Qwen2.5-32B-Instruct,1,0
Qwen2.5-3B,Qwen2.5-3B-Instruct,1,0
Qwen2.5-72B-Base,Qwen2.5-72B-Instruct,1,0
Qwen2.5-7B,Qwen2.5-7B-Instruct,1,0
Qwen3-0.6B-Base,Qwen3-0.6B,,4
Qwen3-1.7B-Base,Qwen3-1.7B,,4
Qwen3-14B-Base,Qwen3-14B,1,0
Qwen3-30B-A3B-Base,Qwen3-30B-A3B,16,4
Qwen3-4B-Base,Qwen3-4B,,4
Qwen3-8B-Base,Qwen3-8B,1,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,16,4
Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,32,4
Qwen3.5-35B-A3B-Base,Qwen3.5-35B-A3B-Instruct,1,0
Qwen3.5-4B-Base,Qwen3.5-4B-Instruct,32,4
Qwen3.5-9B-Base,Qwen3.5-9B-Instruct,1,0
