model,subset,model_group,role,tied,E_mean_var_range,U_mean_var_range
DeepSeek-R1,other_models,deepseek_r1,,False,"3.157231 (var=0.2051) [0.4932, 4.6584]",(=E)
DeepSeek-R1-0528,other_models,deepseek_r1,,False,"3.157231 (var=0.2051) [0.4932, 4.6583]",(=E)
DeepSeek-R1-Distill-Llama-70B,other_models,deepseek_r1_distill_llama,,False,"0.815139 (var=0.0142) [2.48e-05, 1.1039]",(=E)
DeepSeek-R1-Distill-Llama-8B,other_models,deepseek_r1_distill_llama,,False,"0.681320 (var=0.0072) [2.00e-21, 0.9349]",(=E)
DeepSeek-R1-Distill-Qwen-1.5B,other_models,deepseek_r1_distill_qwen,,False,"1.166084 (var=0.0286) [0.7301, 1.9898]",(=E)
DeepSeek-R1-Distill-Qwen-14B,other_models,deepseek_r1_distill_qwen,,False,"1.144279 (var=0.0885) [0, 1.7813]",(=E)
DeepSeek-R1-Distill-Qwen-32B,other_models,deepseek_r1_distill_qwen,,False,"1.208453 (var=0.1143) [0, 1.9023]",(=E)
DeepSeek-R1-Distill-Qwen-7B,other_models,deepseek_r1_distill_qwen,,False,"1.036247 (var=0.1556) [0, 1.9747]",(=E)
DeepSeek-V2-Lite,other_models,deepseek_v2_moe,,False,"5.785749 (var=1.9551) [0.2565, 9.0419]",(=E)
DeepSeek-V2-Lite-Chat,other_models,deepseek_v2_moe,,False,"5.785708 (var=1.9550) [0.2565, 9.0391]",(=E)
DeepSeek-V3,base_instruct,deepseek_v3_moe,base,False,"3.157227 (var=0.2051) [0.4932, 4.6582]",(=E)
DeepSeek-V3-Base,base_instruct,deepseek_v3_moe,base,False,"3.157236 (var=0.2051) [0.4932, 4.6582]",(=E)
DeepSeek-V3.1,base_instruct,deepseek_v3_moe,base,False,"3.155203 (var=0.2042) [0.4932, 4.6555]",(=E)
DeepSeek-V3.1-Base,base_instruct,deepseek_v3_moe,base,False,"3.155207 (var=0.2042) [0.4932, 4.6561]",(=E)
DeepSeek-V3.2,other_models,deepseek_v3_moe,,False,"3.152761 (var=0.2030) [0.4932, 4.6509]",(=E)
DeepSeek-V3.2-Speciale,other_models,deepseek_v3_moe,,False,"3.152765 (var=0.2030) [0.4932, 4.6509]",(=E)
DeepSeek-V4-Flash,other_models,deepseek_v4_moe,,False,"7.287117 (var=2.9017) [0.3713, 47.2974]",(=E)
DeepSeek-V4-Pro,other_models,deepseek_v4_moe,,False,"7.427170 (var=1.2792) [0.4955, 27.6903]",(=E)
GLM-5-744B,other_models,glm5,,False,"0.706962 (var=0.0127) [0.0033, 0.9649]",(=E)
GLM-5.1,other_models,glm5.1,,False,"0.705331 (var=0.0126) [0.0032, 0.9607]",(=E)
Gemma-2-27B,base_instruct,gemma2,base,True,"0.999218 (var=2.28e-06) [0.9678, 1.0090]",(=E)
Gemma-2-27B-Instruct,base_instruct,gemma2,instruct,True,"0.993617 (var=1.46e-05) [0.9741, 1.0131]",(=E)
Gemma-2-2B,base_instruct,gemma2,base,True,"1.779769 (var=0.0639) [1.0731, 4.8711]",(=E)
Gemma-2-2B-Instruct,base_instruct,gemma2,instruct,True,"1.772034 (var=0.0635) [1.0645, 4.8634]",(=E)
Gemma-2-9B,base_instruct,gemma2,base,True,"1.722505 (var=0.0453) [1.0138, 4.2563]",(=E)
Gemma-2-9B-Instruct,base_instruct,gemma2,instruct,True,"1.721526 (var=0.0456) [1.0204, 4.2763]",(=E)
Gemma-3-12B,base_instruct,gemma3,base,True,"0.964557 (var=0.0002) [0.0047, 0.9674]",(=E)
Gemma-3-12B-Instruct,base_instruct,gemma3,instruct,True,"0.950241 (var=0.0003) [0.0047, 1.0045]",(=E)
Gemma-3-1B,base_instruct,gemma3,base,True,"1.046725 (var=2.01e-08) [1.0450, 1.0481]",(=E)
Gemma-3-1B-Instruct,base_instruct,gemma3,instruct,True,"0.947532 (var=0.0007) [0.7279, 1.1101]",(=E)
Gemma-3-27B,base_instruct,gemma3,base,True,"1.030797 (var=0.0003) [0.0051, 1.0320]",(=E)
Gemma-3-27B-Instruct,base_instruct,gemma3,instruct,True,"1.020246 (var=0.0003) [0.0051, 1.0795]",(=E)
Gemma-3-4B,base_instruct,gemma3,base,True,"0.972277 (var=0.0002) [0.0051, 0.9749]",(=E)
Gemma-3-4B-Instruct,base_instruct,gemma3,instruct,True,"0.998227 (var=0.0005) [0.0056, 1.0845]",(=E)
Gemma-4-26B-A4B,base_instruct,gemma4,base,True,"0.999902 (var=3.75e-09) [0.9987, 1.0010]",(=E)
Gemma-4-26B-A4B-Instruct,base_instruct,gemma4,instruct,True,"1.515363 (var=0.0346) [0.9981, 6.0225]",(=E)
Gemma-4-31B,base_instruct,gemma4,base,True,"0.999800 (var=5.61e-08) [0.9981, 1.0018]",(=E)
Gemma-4-31B-Instruct,base_instruct,gemma4,instruct,True,"1.118223 (var=0.0069) [0.5023, 6.8151]",(=E)
Gemma-4-E2B,base_instruct,gemma4,base,True,"0.999998 (var=6.27e-09) [0.9989, 1.0008]",(=E)
Gemma-4-E2B-Instruct,base_instruct,gemma4,instruct,True,"1.193636 (var=0.0060) [0.8757, 2.0095]",(=E)
Gemma-4-E4B,base_instruct,gemma4,base,True,"0.999999 (var=3.83e-09) [0.9991, 1.0006]",(=E)
Gemma-4-E4B-Instruct,base_instruct,gemma4,instruct,True,"1.206352 (var=0.0070) [0.8798, 1.7348]",(=E)
Llama-3.1-70B-Base,base_instruct,llama,base,False,"0.817750 (var=0.0143) [2.49e-05, 1.1082]",(=E)
Llama-3.1-70B-Instruct,base_instruct,llama,instruct,False,"0.814383 (var=0.0142) [2.48e-05, 1.1035]",(=E)
Llama-3.1-8B,base_instruct,llama,base,False,"0.674119 (var=0.0071) [2.00e-21, 0.9349]",(=E)
Llama-3.1-8B-Instruct,base_instruct,llama,instruct,False,"0.671327 (var=0.0071) [1.99e-21, 0.9313]",(=E)
Llama-3.2-1B,base_instruct,llama,base,True,"0.987007 (var=0.0087) [0.5442, 1.3784]",(=E)
Llama-3.2-1B-Instruct,base_instruct,llama,instruct,True,"0.929794 (var=0.0083) [0.5215, 1.3203]",(=E)
Llama-3.2-3B,base_instruct,llama,base,True,"1.147452 (var=0.0135) [0.6390, 1.5486]",(=E)
Llama-3.2-3B-Instruct,base_instruct,llama,instruct,True,"1.086130 (var=0.0128) [0.6221, 1.4695]",(=E)
MiniMax-M2.5-Chat,other_models,minimax_m2.5,,False,"1.324694 (var=0.0048) [0.0041, 3.1751]",(=E)
MiniMax-M2.7,other_models,minimax_m2.7,,False,"1.323906 (var=0.0048) [0.0040, 3.1698]",(=E)
Qwen2.5-0.5B,base_instruct,qwen2.5,base,True,"0.463281 (var=0.0038) [0.2869, 0.8066]",(=E)
Qwen2.5-0.5B-Instruct,base_instruct,qwen2.5,instruct,True,"0.452634 (var=0.0035) [0.2849, 0.7798]",(=E)
Qwen2.5-1.5B,base_instruct,qwen2.5,base,True,"1.015754 (var=0.0208) [0.4054, 1.5647]",(=E)
Qwen2.5-1.5B-Instruct,base_instruct,qwen2.5,instruct,True,"1.012561 (var=0.0202) [0.4147, 1.5590]",(=E)
Qwen2.5-14B,base_instruct,qwen2.5,base,False,"1.141519 (var=0.0875) [0, 1.7609]",(=E)
Qwen2.5-14B-Instruct,base_instruct,qwen2.5,instruct,False,"1.140284 (var=0.0873) [0, 1.7608]",(=E)
Qwen2.5-32B,base_instruct,qwen2.5,base,False,"1.207374 (var=0.1138) [0, 1.8994]",(=E)
Qwen2.5-32B-Instruct,base_instruct,qwen2.5,instruct,False,"1.206060 (var=0.1135) [0, 1.8982]",(=E)
